constituency_id,party,votes
E14000530,Con,23369
E14000530,Lab,8468
E14000530,UKIP,8253
E14000530,LD,4076
E14000530,Green,2025
E14000531,Con,20558
E14000531,Lab,8835
E14000531,UKIP,7751
E14000531,LD,1330
E14000531,Green,826
E14000531,MRLP,197
E14000532,Con,26771
E14000532,Lab,13481
E14000532,LD,4235
E14000532,UKIP,4047
E14000532,Green,1983
E14000533,Con,20106
E14000533,Lab,15901
E14000533,UKIP,7263
E14000533,LD,1360
E14000533,Green,1087
E14000534,Con,34331
E14000534,UKIP,8154
E14000534,Lab,6324
E14000534,LD,4062
E14000534,Green,3606
E14000535,Lab,19448
E14000535,Con,10628
E14000535,UKIP,10150
E14000535,LD,7030
E14000535,Justice for Men & Boys,153
E14000536,Con,30094
E14000536,UKIP,10798
E14000536,Lab,10580
E14000536,LD,3433
E14000536,Green,2467
E14000537,Lab,19366
E14000537,Con,8610
E14000537,UKIP,8468
E14000537,Green,1531
E14000537,LD,943
E14000538,Con,28083
E14000538,UKIP,10925
E14000538,Lab,8391
E14000538,LD,5885
E14000538,Green,2135
E14000539,Con,30749
E14000539,Lab,12354
E14000539,UKIP,8050
E14000539,LD,3440
E14000539,Green,2686
E14000539,National Health Action Party,729
E14000540,Lab,24826
E14000540,UKIP,9554
E14000540,Con,7019
E14000540,Green,897
E14000540,LD,562
E14000540,TUSC,183
E14000541,Lab,20376
E14000541,UKIP,7941
E14000541,Con,5485
E14000541,Green,938
E14000541,LD,770
E14000541,TUSC,573
E14000541,Eng Dem,477
E14000542,Lab,21079
E14000542,UKIP,9045
E14000542,Con,5622
E14000542,LD,1217
E14000542,Yorkshire First,647
E14000542,Eng Dem,440
E14000542,TUSC,364
E14000542,Vapers In Power,103
E14000543,Lab,18320
E14000543,Con,17525
E14000543,UKIP,5070
E14000543,LD,1169
E14000543,Green,1061
E14000543,Ind,130
E14000544,Con,22668
E14000544,Lab,10186
E14000544,UKIP,8538
E14000544,LD,1636
E14000545,Con,25769
E14000545,Lab,14706
E14000545,UKIP,8290
E14000545,LD,3919
E14000545,Ind,392
E14000546,Lab,23965
E14000546,Con,15122
E14000546,UKIP,7865
E14000546,LD,1331
E14000546,Green,1006
